r,epsilon,mean_index,std_index,trials_done,time
0.0000,0.015849,0.0000,0.0000,40,11:57
0.0000,0.021695,0.0000,0.0000,40,12:11
0.0000,0.029698,0.0000,0.0000,40,12:25
0.0000,0.040653,0.0000,0.0000,40,12:39
0.0000,0.055649,0.0000,0.0000,40,12:53
0.0000,0.076176,0.0000,0.0000,40,13:07
0.0000,0.104275,0.0000,0.0000,40,13:20
0.0000,0.142740,0.0000,0.0000,40,13:34
0.0000,0.195393,0.0000,0.0000,40,13:47
0.0000,0.267469,0.0000,0.0000,40,14:01
0.0000,0.366131,-49.4250,10.4400,40,14:28
0.0000,0.501187,-44.5750,4.9035,40,15:10
0.0550,0.015849,0.0000,0.0000,40,15:25
0.0550,0.021695,0.0000,0.0000,40,15:39
0.0550,0.029698,0.0000,0.0000,40,15:53
0.0550,0.040653,0.0000,0.0000,40,16:06
0.0550,0.055649,0.0000,0.0000,40,16:19
0.0550,0.076176,0.0000,0.0000,40,16:33
0.0550,0.104275,0.0000,0.0000,40,16:46
0.0550,0.142740,0.0000,0.0000,40,16:59
0.0550,0.195393,0.0000,0.0000,40,17:13
0.0550,0.267469,0.0000,0.0000,40,17:26
0.0550,0.366131,-49.7000,10.2985,40,17:51
0.0550,0.501187,-44.7750,5.3688,40,18:36
0.1100,0.015849,0.0000,0.0000,40,18:49
0.1100,0.021695,0.0000,0.0000,40,19:02
0.1100,0.029698,0.0000,0.0000,40,19:16
0.1100,0.040653,0.0000,0.0000,40,19:29
0.1100,0.055649,0.0000,0.0000,40,19:42
0.1100,0.076176,0.0000,0.0000,40,19:56
0.1100,0.104275,0.0000,0.0000,40,20:09
0.1100,0.142740,0.0000,0.0000,40,20:22
0.1100,0.195393,0.0000,0.0000,40,20:36
0.1100,0.267469,0.0000,0.0000,40,20:49
0.1100,0.366131,-50.7000,9.9303,40,21:13
0.1100,0.501187,-45.1500,3.5885,40,21:55
0.1650,0.015849,0.0000,0.0000,40,22:09
0.1650,0.021695,0.0000,0.0000,40,22:22
0.1650,0.029698,0.0000,0.0000,40,22:36
0.1650,0.040653,0.0000,0.0000,40,22:49
0.1650,0.055649,0.0000,0.0000,40,23:02
0.1650,0.076176,0.0000,0.0000,40,23:15
0.1650,0.104275,0.0000,0.0000,40,23:29
0.1650,0.142740,0.0000,0.0000,40,23:42
0.1650,0.195393,0.0000,0.0000,40,23:55
0.1650,0.267469,0.0000,0.0000,40,00:08
0.1650,0.366131,-50.7250,8.3785,40,00:26
0.1650,0.501187,-45.9750,4.9924,40,01:03
0.2200,0.015849,0.0000,0.0000,40,01:17
0.2200,0.021695,0.0000,0.0000,40,01:30
0.2200,0.029698,0.0000,0.0000,40,01:43
0.2200,0.040653,0.0000,0.0000,40,01:57
0.2200,0.055649,0.0000,0.0000,40,02:10
0.2200,0.076176,0.0000,0.0000,40,02:23
0.2200,0.104275,0.0000,0.0000,40,02:37
0.2200,0.142740,0.0000,0.0000,40,02:50
0.2200,0.195393,0.0000,0.0000,40,03:03
0.2200,0.267469,0.0000,0.0000,40,03:16
0.2200,0.366131,-48.9750,10.8547,40,03:43
0.2200,0.501187,-46.0250,4.7196,40,04:30
0.2750,0.015849,0.0000,0.0000,40,04:43
0.2750,0.021695,0.0000,0.0000,40,04:56
0.2750,0.029698,0.0000,0.0000,40,05:09
0.2750,0.040653,0.0000,0.0000,40,05:23
0.2750,0.055649,0.0000,0.0000,40,05:36
0.2750,0.076176,0.0000,0.0000,40,05:49
0.2750,0.104275,0.0000,0.0000,40,06:03
0.2750,0.142740,0.0000,0.0000,40,06:16
0.2750,0.195393,0.0000,0.0000,40,06:29
0.2750,0.267469,0.0000,0.0000,40,06:42
0.2750,0.366131,-52.2250,7.7120,40,07:11
